transaction_id,policy_id,transaction_type,transaction_date,premium_change
T5001,P2001,NEW_BUSINESS,2026-01-01,42000
T5002,P2002,NEW_BUSINESS,2026-02-15,36500
T5003,P2003,NEW_BUSINESS,2026-03-01,78200
T5004,P2004,NEW_BUSINESS,2026-01-10,55800
T5005,P2004,CANCELLATION,2026-09-15,-12000
T5006,P2005,NEW_BUSINESS,2026-04-01,29400
T5007,P2006,NEW_BUSINESS,2026-05-01,61500
T5008,P2007,NEW_BUSINESS,2026-06-01,33100
T5009,P2008,NEW_BUSINESS,2026-07-01,47100
T5009,P2008,ENDORSEMENT,2026-08-15,3200
